G1 X: 0, Y: 0, Z: 15.0, E: 3
G1 X: 208, Y: 197.7, Z: 0.5, E: 90.96661
G1 X: 209, Y: 197.7, Z: 0.5, E: 90.99796
G1 X: 209, Y: 158.3, Z: 0.5, E: 92.23318
G1 X: 210, Y: 158.3, Z: 0.5, E: 92.26454
G1 X: 210, Y: 197.7, Z: 0.5, E: 93.49976
G1 X: 211, Y: 197.7, Z: 0.5, E: 93.53111
G1 X: 211, Y: 158.3, Z: 0.5, E: 94.76634
G1 X: 212, Y: 158.3, Z: 0.5, E: 94.79769
G1 X: 212, Y: 197.7, Z: 0.5, E: 96.03292
G1 X: 213, Y: 197.7, Z: 0.5, E: 96.06427
G1 X: 213, Y: 158.3, Z: 0.5, E: 97.29949
G1 X: 214, Y: 158.3, Z: 0.5, E: 97.33085
G1 X: 214, Y: 197.7, Z: 0.5, E: 98.56607
G1 X: 215, Y: 197.7, Z: 0.5, E: 98.59742
G1 X: 215, Y: 158.3, Z: 0.5, E: 99.83265
G1 X: 216, Y: 158.3, Z: 0.5, E: 99.864
G1 X: 216, Y: 197.7, Z: 0.5, E: 101.09923
G1 X: 217, Y: 197.7, Z: 0.5, E: 101.13058
G1 X: 217, Y: 158.3, Z: 0.5, E: 102.3658
G1 X: 217.7, Y: 158.3, Z: 0.5, E: 102.38775
G1 X: 139, Y: 197.7, Z: 0.75, E: 103.62298
G1 X: 138.3, Y: 197.7, Z: 0.75, E: 103.64492
G1 X: 138.3, Y: 158.3, Z: 0.75, E: 104.88015
G1 X: 140, Y: 158.3, Z: 0.75, E: 104.93345
G1 X: 140, Y: 197.7, Z: 0.75, E: 106.16867
G1 X: 141, Y: 197.7, Z: 0.75, E: 106.20002
G1 X: 141, Y: 158.3, Z: 0.75, E: 107.43525
G1 X: 142, Y: 158.3, Z: 0.75, E: 107.4666
G1 X: 142, Y: 197.7, Z: 0.75, E: 108.70183
G1 X: 143, Y: 197.7, Z: 0.75, E: 108.73318
G1 X: 143, Y: 158.3, Z: 0.75, E: 109.9684
G1 X: 144, Y: 158.3, Z: 0.75, E: 109.99976
G1 X: 144, Y: 197.7, Z: 0.75, E: 111.23498
G1 X: 145, Y: 197.7, Z: 0.75, E: 111.26633
G1 X: 145, Y: 158.3, Z: 0.75, E: 112.50156
G1 X: 146, Y: 158.3, Z: 0.75, E: 112.53291
G1 X: 146, Y: 197.7, Z: 0.75, E: 113.76814
G1 X: 147, Y: 197.7, Z: 0.75, E: 113.79949
G1 X: 147, Y: 158.3, Z: 0.75, E: 115.03471
G1 X: 148, Y: 158.3, Z: 0.75, E: 115.06607
G1 X: 148, Y: 197.7, Z: 0.75, E: 116.30129
G1 X: 149, Y: 197.7, Z: 0.75, E: 116.33264
G1 X: 149, Y: 158.3, Z: 0.75, E: 117.56787
G1 X: 150, Y: 158.3, Z: 0.75, E: 117.59922
G1 X: 150, Y: 197.7, Z: 0.75, E: 118.83445
G1 X: 151, Y: 197.7, Z: 0.75, E: 118.8658
G1 X: 151, Y: 158.3, Z: 0.75, E: 120.10102
G1 X: 152, Y: 158.3, Z: 0.75, E: 120.13238
G1 X: 152, Y: 197.7, Z: 0.75, E: 121.3676
G1 X: 153, Y: 197.7, Z: 0.75, E: 121.39895
G1 X: 153, Y: 158.3, Z: 0.75, E: 122.63418
G1 X: 154, Y: 158.3, Z: 0.75, E: 122.66553
G1 X: 154, Y: 197.7, Z: 0.75, E: 123.90076
G1 X: 155, Y: 197.7, Z: 0.75, E: 123.93211
G1 X: 155, Y: 158.3, Z: 0.75, E: 125.16733
G1 X: 156, Y: 158.3, Z: 0.75, E: 125.19869
G1 X: 156, Y: 197.7, Z: 0.75, E: 126.43391
G1 X: 157, Y: 197.7, Z: 0.75, E: 126.46526
G1 X: 157, Y: 158.3, Z: 0.75, E: 127.70049
G1 X: 158, Y: 158.3, Z: 0.75, E: 127.73184
G1 X: 158, Y: 197.7, Z: 0.75, E: 128.96707
G1 X: 159, Y: 197.7, Z: 0.75, E: 128.99842
G1 X: 159, Y: 158.3, Z: 0.75, E: 130.23364
G1 X: 160, Y: 158.3, Z: 0.75, E: 130.265
G1 X: 160, Y: 197.7, Z: 0.75, E: 131.50022
G1 X: 161, Y: 197.7, Z: 0.75, E: 131.53157
G1 X: 161, Y: 158.3, Z: 0.75, E: 132.7668
G1 X: 162, Y: 158.3, Z: 0.75, E: 132.79815
G1 X: 162, Y: 197.7, Z: 0.75, E: 134.03338
G1 X: 163, Y: 197.7, Z: 0.75, E: 134.06473
G1 X: 163, Y: 158.3, Z: 0.75, E: 135.29995
G1 X: 164, Y: 158.3, Z: 0.75, E: 135.3313
G1 X: 164, Y: 197.7, Z: 0.75, E: 136.56653
G1 X: 165, Y: 197.7, Z: 0.75, E: 136.59788
G1 X: 165, Y: 158.3, Z: 0.75, E: 137.83311
G1 X: 166, Y: 158.3, Z: 0.75, E: 137.86446
G1 X: 166, Y: 197.7, Z: 0.75, E: 139.09969
G1 X: 167, Y: 197.7, Z: 0.75, E: 139.13104
G1 X: 167, Y: 158.3, Z: 0.75, E: 140.36626
G1 X: 168, Y: 158.3, Z: 0.75, E: 140.39761
G1 X: 168, Y: 197.7, Z: 0.75, E: 141.63284
G1 X: 169, Y: 197.7, Z: 0.75, E: 141.66419
G1 X: 169, Y: 158.3, Z: 0.75, E: 142.89942
G1 X: 170, Y: 158.3, Z: 0.75, E: 142.93077
G1 X: 170, Y: 197.7, Z: 0.75, E: 144.166
G1 X: 171, Y: 197.7, Z: 0.75, E: 144.19735
G1 X: 171, Y: 158.3, Z: 0.75, E: 145.43257
G1 X: 172, Y: 158.3, Z: 0.75, E: 145.46392
G1 X: 172, Y: 197.7, Z: 0.75, E: 146.69915
G1 X: 173, Y: 197.7, Z: 0.75, E: 146.7305
G1 X: 173, Y: 158.3, Z: 0.75, E: 147.96573
G1 X: 174, Y: 158.3, Z: 0.75, E: 147.99708
G1 X: 174, Y: 197.7, Z: 0.75, E: 149.23231
G1 X: 175, Y: 197.7, Z: 0.75, E: 149.26366
G1 X: 175, Y: 158.3, Z: 0.75, E: 150.49888
G1 X: 176, Y: 158.3, Z: 0.75, E: 150.53023
G1 X: 176, Y: 197.7, Z: 0.75, E: 151.76546
G1 X: 177, Y: 197.7, Z: 0.75, E: 151.79681
G1 X: 177, Y: 158.3, Z: 0.75, E: 153.03204
